CODICE,PROV,COMUNE,DENOMINAZIONE,LOCALITA',X,Y,Q,NOTE,STRAT.,FALDA,PUBBLICO,ORIGINE
3(5),CO,ROVELLASCA , Cons. Lura Ambiente   pozzo 2,via Dante,1504185.0,5057342.0,247.0,,X,MISTA,,OLONA
0151810001,MI - Par.,RESCALDINA,,"via Melzi Comune, 1",1496143.502,5051419.778,180.25,,X,1,,OLONA
0151820106,MI - Par.,RHO,,Alumix spa via S.Martino,1503760.0,5039860.0,138.59,,,1,,OLONA
PO012004NU0001,VA,ARCISATE,,via Piave,1489675.0,5078705.0,362.22,,X,SUPERF. (acquifero locale),,OLONA
PO1202602103T0,VA,BUSTO A.,,via Marco Polo,1486405.0,5048283.0,210.5,,X,SUPERF.,,OLONA
PO012034NU0006,VA,CARONNO P.,,via della Vittoria,1503390.0,5049745.0,192.5,,X,MISTA,,OLONA
PO012070NU0009,VA,GALLARATE,,via Alberone - via Ferrari,1483140.0,5055620.0,235.0,,X,SUPERF. (acquifero locale),,OLONA
PO012070NU1022,VA,GALLARATE,,via Monte S. Martino,1482360.0,5058150.0,271.0,,X,MISTA,,OLONA
PO0120750R2020,VA,GERENZANO,,Discarica - controllo,1497940.0,5052150.0,220.65,,X,SUPERF.,,OLONA
PO012136NU0001,VA,VENEGONO I.,,via Sordelli 1,1492370.0,5064980.0,323.5,,X,MISTA,,OLONA
