,value,lat,lon
PO012002NU0008,306.12,45.741229132208446,8.807205017197962
PO012026NU3021,172.362,45.5878385047091,8.825434770924014
PO0120500RZ001,206.362,45.6470207268182,8.940710862731478
PO012070NU1007,230.416,45.66095290747508,8.773965068909195
PO0120750R2020,193.066,45.62631377148765,8.977460464647569
PO0120790RZ001,207.781,45.64353294976908,8.932719987563429
PO012090NU2009,158.296,45.60432632285084,8.713050565367158
PO0121180U0005,182.607,45.62927043532758,8.756785997346258
PO012123NUP001,178.476,45.63868335170768,8.709955269550052
PO0121300RZ001,177.18,45.596447373390106,8.971971952273773
PO012136NUZ001,284.509,45.73303295747794,8.912986328360603
PO0130230U0003,364.194,45.782496602020025,8.907442131473825
PO0130280U0009,227.748,45.71079588069668,9.050748548918438
PO013029NU0003,,45.73295023124814,9.191725416485538
PO0130460U0001,219.098,45.71120030243424,9.10460700491566
PO013064NU0002,218.232,45.707086977440646,9.082579772156986
PO0131310U0001,238.242,45.690444213933006,8.930583187476616
PO0131330U0009,238.705,45.70714988625931,9.02591219447396
PO013143NUP001,,45.70753319647784,9.168429816929343
PO0131590U0001,226.2,45.680174545192166,8.9480849539333
PO015019NR0001,140.42,45.49397816338367,8.827299185110007
PO015041NR0075,,45.531607490202425,8.889054061307203
PO015051NR0012,,45.55994854161797,9.334324909887304
PO015060NU0070,,45.5253244282808,9.3656595767229
PO015062NR0071,,45.54748207756073,8.73420820654395
PO0151080U0002,,45.53302119623268,9.410457803668589
PO015113NUP001,,45.50865325685648,8.862991416958833
PO015146NU1120,105.37,45.45861958137727,9.173999779020887
PO015146NU1313,112.845,45.49466612435916,9.25278311987484
PO015146NU1353,104.261,45.4572653659559,9.253178716873853
PO015146NU1534,127.85,45.51523284574417,9.129606368874434
PO015146NU1536,112.4,45.48360250118908,9.151811643170053
PO015146NU1557,109.36,45.48492305802869,9.184189806521267
PO0151810U0001,190.2,45.61611603135312,8.950106488910535
PO015194NU0017,,45.56654955411028,8.90941210511973
PO0152060U0004,152.2,45.57860664614248,9.1319438897114
PO015219NU0009,,45.58246952641665,9.480935506816804
PO0152210U0001,,45.6119661346521,9.519559768178947
PO015243NUP001,,45.48938482411444,8.95150481522566
PO0152490U0002,164.983,45.57378689030802,8.773558840213552
PO0970200U0002,241.881,45.696143185279375,9.398419833931262
PO0970200U0003,237.725,45.688282134011416,9.391570292009895
PO0970480U0001,246.194,45.70437107786069,9.398092889491815
PO0970610U0015,228.705,45.674394577407774,9.383384599241468
PO1080210U0002,,45.57929091184946,9.325262200691904
PO108023NU0003,,45.62063500742705,9.208581900085925
PO1080310U0001,,45.629057420293165,9.445321958810917
PO108033NR0142,,45.61562348348247,9.290136587843271
PO108033NU0243,,45.566663724453065,9.265613128977533
PO1080350U0024,147.56,45.592797162451646,9.191952763436625
PO1080390U0026,,45.66116895719162,9.214910218116112
PO1080520U0016,,45.56451359285678,9.366975836497913
FOG14,109.5,45.48204197509303,9.242258809625769
FOG16,,45.447842946266746,9.20273935926081
FOG24,125.03,45.50354079835439,9.119993125470616
FOG27,,45.45408768368235,9.17679987634677
FOG34,105.23,45.452012414854345,9.17421010622852
FOG41,106.56,45.46689686473682,9.170392685679944
FOG56,123.25,45.492087819031255,9.105507501690436
FOG72,103.88,45.44372585741783,9.24589264708829
PO015209NR0264,,45.5290704543389,9.23792532620731
CM.PS.002,,45.5421850584263,9.26248795638083
PO015209NR0336,,45.5389128191665,9.24699111220477
PO015209NRA683,,45.5430937823539,9.24323194963941
